证券代码$|$销售人代码2$|$赎回交收天数（天）
35李四$|$103000000003$|$2
24李四$|$103000000003$|$2
17张鸣$|$103000000003$|$4
21王五$|$103000000003$|$4
30王五$|$103000000003$|$5
11张鸣$|$103000000003$|$1
16王五$|$103000000003$|$4
27李四$|$103000000003$|$2
39张伟$|$103000000003$|$5
14李静$|$103000000003$|$1
17张鸣$|$103000000003$|$4
31张伟$|$103000000003$|$5
19李四$|$103000000003$|$5
24张三$|$103000000003$|$2
34张鸣$|$103000000003$|$4
33王五$|$103000000003$|$3
12李四$|$103000000003$|$3
20李静$|$103000000003$|$3
19张伟$|$103000000003$|$2
20王五$|$103000000003$|$4
