证券代码$|$销售人代码2$|$赎回交收天数（天）
12张三$|$103000000003$|$5
18张伟$|$103000000003$|$4
14张三$|$103000000003$|$3
12张鸣$|$103000000003$|$1
14王五$|$103000000003$|$3
32张伟$|$103000000003$|$4
20王五$|$103000000003$|$5
29张鸣$|$103000000003$|$5
36张伟$|$103000000003$|$4
24王五$|$103000000003$|$1
10李静$|$103000000003$|$3
25张伟$|$103000000003$|$1
20张伟$|$103000000003$|$1
28李静$|$103000000003$|$4
25王五$|$103000000003$|$4
13李静$|$103000000003$|$1
29张伟$|$103000000003$|$3
22张伟$|$103000000003$|$1
39李静$|$103000000003$|$3
31张鸣$|$103000000003$|$4
33王五$|$103000000003$|$1
30李四$|$103000000003$|$3
39李四$|$103000000003$|$1
15李静$|$103000000003$|$5
13李静$|$103000000003$|$4
25李静$|$103000000003$|$4
28李静$|$103000000003$|$2
28张三$|$103000000003$|$5
16张伟$|$103000000003$|$1
21张三$|$103000000003$|$5
35张三$|$103000000003$|$2
15李四$|$103000000003$|$5
23李四$|$103000000003$|$3
39李四$|$103000000003$|$3
16张三$|$103000000003$|$5
24张三$|$103000000003$|$4
24李静$|$103000000003$|$4
22张伟$|$103000000003$|$4
34张三$|$103000000003$|$1
25张鸣$|$103000000003$|$4
32王五$|$103000000003$|$2
18李静$|$103000000003$|$3
22李静$|$103000000003$|$2
27张伟$|$103000000003$|$3
39张伟$|$103000000003$|$4
31王五$|$103000000003$|$4
23张三$|$103000000003$|$1
30李静$|$103000000003$|$4
11王五$|$103000000003$|$5
36张鸣$|$103000000003$|$4
19李四$|$103000000003$|$3
38李四$|$103000000003$|$3
22王五$|$103000000003$|$2
29李静$|$103000000003$|$5
28张伟$|$103000000003$|$3
23张伟$|$103000000003$|$3
39张三$|$103000000003$|$4
10张三$|$103000000003$|$2
30李静$|$103000000003$|$4
11李静$|$103000000003$|$3
20李静$|$103000000003$|$5
21李四$|$103000000003$|$5
31李四$|$103000000003$|$1
30王五$|$103000000003$|$3
12张三$|$103000000003$|$5
34张鸣$|$103000000003$|$4
27李静$|$103000000003$|$5
15王五$|$103000000003$|$4
36李四$|$103000000003$|$1
10王五$|$103000000003$|$4
12张伟$|$103000000003$|$5
22李静$|$103000000003$|$1
16李静$|$103000000003$|$3
36李静$|$103000000003$|$4
27王五$|$103000000003$|$4
25王五$|$103000000003$|$1
18王五$|$103000000003$|$3
17李四$|$103000000003$|$4
15李四$|$103000000003$|$5
15李四$|$103000000003$|$2
21李四$|$103000000003$|$1
38李静$|$103000000003$|$5
22李静$|$103000000003$|$4
27张鸣$|$103000000003$|$5
16李静$|$103000000003$|$4
26张三$|$103000000003$|$1
39李静$|$103000000003$|$4
37王五$|$103000000003$|$2
16王五$|$103000000003$|$5
26张三$|$103000000003$|$2
14李静$|$103000000003$|$5
13张三$|$103000000003$|$4
19李静$|$103000000003$|$4
20张三$|$103000000003$|$5
17张三$|$103000000003$|$3
26张鸣$|$103000000003$|$3
38李静$|$103000000003$|$5
12李四$|$103000000003$|$5
38张伟$|$103000000003$|$5
22张伟$|$103000000003$|$5
24张伟$|$103000000003$|$5
16李四$|$103000000003$|$5
18张鸣$|$103000000003$|$4
22李静$|$103000000003$|$1
18李四$|$103000000003$|$2
25李静$|$103000000003$|$1
33王五$|$103000000003$|$5
38李静$|$103000000003$|$2
32李四$|$103000000003$|$4
35李四$|$103000000003$|$5
24张伟$|$103000000003$|$1
21张鸣$|$103000000003$|$4
14张鸣$|$103000000003$|$4
36王五$|$103000000003$|$4
12张伟$|$103000000003$|$1
33张伟$|$103000000003$|$1
25李四$|$103000000003$|$2
31李四$|$103000000003$|$3
21李静$|$103000000003$|$1
35李静$|$103000000003$|$2
